Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,0,2,0.041,1713742786936780.648	,1713742786936780.689	
0,Spence,KERNEL_AICORE,1,0,156377.65,1713742787194792.247	,1713742787351169.897	
0,N/A,EVENT_RECORD,1,1,0.02,1713742787351169.960	,1713742787351169.980	
0,N/A,PROFILING_DISABLE,0,3,0.02,1713742787355810.619	,1713742787355810.639	
0,N/A,DEVICE_RINGBUFFER_CONTROL,0,4,0.02,1713742787356310.213	,1713742787356310.233	
0,N/A,PLACE_HOLDER_SQE,0,5,0.02,1713742787357076.000	,1713742787357076.020	
