Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,0,2,0.041,1713738308899542.569	,1713738308899542.610	
0,Spence,KERNEL_AICORE,1,0,8031.125,1713738309894809.075	,1713738309902840.200	
0,N/A,EVENT_RECORD,1,1,0.02,1713738309902840.284	,1713738309902840.304	
0,N/A,PROFILING_DISABLE,0,3,0.02,1713738309911203.791	,1713738309911203.811	
0,N/A,DEVICE_RINGBUFFER_CONTROL,0,4,0.041,1713738309911682.030	,1713738309911682.071	
0,N/A,PLACE_HOLDER_SQE,0,5,0.02,1713738309912615.924	,1713738309912615.944	
