Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,0,2,0.02,1713720060721934.052	,1713720060721934.072	
0,ScatterSub,KERNEL_AICORE,1,0,9.666,1713720060978338.576	,1713720060978348.242	
0,N/A,PROFILING_DISABLE,0,3,0.02,1713720060982870.337	,1713720060982870.357	
0,N/A,DEVICE_RINGBUFFER_CONTROL,0,4,0.02,1713720060983233.511	,1713720060983233.531	
0,N/A,PLACE_HOLDER_SQE,0,5,0.02,1713720060984101.716	,1713720060984101.736	
