Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,0,2,0.041,1713450374437013.240	,1713450374437013.281	
0,FastGeluGrad,KERNEL_AICORE,1,0,11.729,1713450374754296.323	,1713450374754308.052	
0,N/A,PROFILING_DISABLE,0,3,0.02,1713450374758725.978	,1713450374758725.998	
0,N/A,DEVICE_RINGBUFFER_CONTROL,0,4,0.02,1713450374759407.721	,1713450374759407.741	
0,N/A,PLACE_HOLDER_SQE,0,5,0.041,1713450374760266.906	,1713450374760266.947	
