Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,0,2,0.02,1713732120858815.966	,1713732120858815.986	
0,ScatterSub,KERNEL_AICORE,1,0,11.271,1713732121089596.394	,1713732121089607.665	
0,N/A,PROFILING_DISABLE,0,3,0.02,1713732121093851.108	,1713732121093851.128	
0,N/A,DEVICE_RINGBUFFER_CONTROL,0,4,0.02,1713732121094657.604	,1713732121094657.624	
0,N/A,PLACE_HOLDER_SQE,0,5,0.041,1713732121095540.164	,1713732121095540.205	
