Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,PROFILING_ENABLE,0,2,0.02,1713727686063299.775	,1713727686063299.795	
0,ScatterSub,KERNEL_AICORE,1,0,27.479,1713727686273771.822	,1713727686273799.301	
0,N/A,PROFILING_DISABLE,0,3,0.02,1713727686278355.146	,1713727686278355.166	
0,N/A,DEVICE_RINGBUFFER_CONTROL,0,4,0.02,1713727686279042.119	,1713727686279042.139	
0,N/A,PLACE_HOLDER_SQE,0,5,0.041,1713727686279907.470	,1713727686279907.511	
